Month,Hour,Date,Time,Intraday Continuous 15 minutes Index Price (Euro/MWh),Wind error absolute (MW),Wind underestimation (MW),Wind overestimation (MW),Day-ahead Price [EUR/MWh],Day-ahead Total Load Forecast [MW] - Germany (DE),Actual Total Load [MW] - Germany (DE),Solar generation (MW),Wind generation (MW),Intraday Continuous 15 minutes High Price (Euro/MWh),Intraday Continuous 15 minutes Low Price (Euro/MWh)
1,1,04.01.2021, 00:00,71.6,4061.5,4061.5,0.0,29.33,43496.25,47773.25,0.0,17592.5,263.48,29.34
1,2,04.01.2021, 01:00,66.815,4052.25,4052.25,0.0,24.82,41470.0,46166.0,0.0,17302.5,620.0,-65.0
1,3,04.01.2021, 02:00,45.4075,4094.25,4094.25,0.0,24.65,40739.75,45972.0,0.0,17110.0,120.0,15.72
1,4,04.01.2021, 03:00,54.795,4072.75,4072.75,0.0,24.8,40960.5,45867.75,0.0,16930.0,123.8,25.48
1,5,04.01.2021, 04:00,51.7025,3845.75,3845.75,0.0,27.71,42375.5,47099.75,0.0,16702.5,118.1,24.43
1,6,04.01.2021, 05:00,51.265,4095.75,4095.75,0.0,28.58,44264.25,49643.75,0.0,16372.5,139.1,-233.0
1,7,04.01.2021, 06:00,55.235,4140.75,4140.75,0.0,37.04,48723.25,55222.0,0.0,16475.0,200.0,23.16
1,8,04.01.2021, 07:00,60.0775,3598.5,3598.5,0.0,52.03,53040.0,61416.75,0.0,16407.5,123.8,-27.9
1,9,04.01.2021, 08:00,78.9425,3276.75,3276.75,0.0,55.76,56892.0,64996.25,112.5,16715.0,215.75,41.89
1,10,04.01.2021, 09:00,73.805,2862.75,2862.75,0.0,57.06,58816.25,66915.0,325.0,16497.5,198.2,9.2
1,11,04.01.2021, 10:00,87.9825,1786.0,1786.0,0.0,57.18,60619.0,68184.25,835.0,16465.0,500.0,42.6
1,12,04.01.2021, 11:00,63.8925,1305.5,1305.5,0.0,60.0,62422.25,70099.0,1217.5,16605.0,219.98,27.0
1,13,04.01.2021, 12:00,89.7375,1131.25,1131.25,0.0,61.27,62288.75,70638.0,1345.0,16532.5,390.96,44.71
1,14,04.01.2021, 13:00,83.07,898.5,898.5,0.0,60.28,61396.25,69983.5,1170.0,16492.5,265.2,52.06
1,15,04.01.2021, 14:00,78.295,650.75,650.75,0.0,60.07,60204.75,69110.5,770.0,16895.0,307.3,49.29
1,16,04.01.2021, 15:00,64.4575,411.75,411.75,0.0,59.46,59442.5,68957.25,250.0,16992.5,100.0,-67.99
1,17,04.01.2021, 16:00,73.58,112.5,112.5,0.0,61.99,59996.5,69791.75,10.0,17110.0,194.58,48.6
1,18,04.01.2021, 17:00,73.3575,102.25,0.0,-102.25,66.82,62329.75,71614.25,0.0,17102.5,149.98,42.61
1,19,04.01.2021, 18:00,77.545,220.5,0.0,-220.5,61.97,62996.0,71159.5,0.0,16985.0,132.3,50.88
1,20,04.01.2021, 19:00,67.5875,239.0,0.0,-239.0,55.06,61461.25,69262.25,0.0,16867.5,189.89,41.89
1,21,04.01.2021, 20:00,65.1975,304.25,0.0,-304.25,47.34,57853.75,65826.25,0.0,16620.0,247.95,28.3
1,22,04.01.2021, 21:00,55.485,323.25,0.0,-323.25,45.64,55265.75,62557.5,0.0,16025.0,133.59,37.8
1,23,04.01.2021, 22:00,61.5275,367.25,0.0,-367.25,48.93,53619.5,59964.0,0.0,15457.5,250.0,30.16
1,24,04.01.2021, 23:00,51.9925,476.0,0.0,-476.0,44.64,50333.0,56478.5,0.0,15507.5,200.0,28.94
1,1,05.01.2021, 00:00,52.4875,1370.0,1370.0,0.0,37.54,45267.25,52555.75,0.0,15510.0,887.98,0.0
1,2,05.01.2021, 01:00,47.5925,1317.75,1317.75,0.0,40.07,43283.75,51086.0,0.0,15235.0,87.48,33.38
1,3,05.01.2021, 02:00,56.3475,1692.0,1692.0,0.0,39.81,42974.25,50009.75,0.0,14897.5,887.98,29.39
1,4,05.01.2021, 03:00,48.335,1982.0,1982.0,0.0,39.65,43473.0,50301.5,0.0,14965.0,200.0,-166.48
1,5,05.01.2021, 04:00,47.0275,2002.0,2002.0,0.0,40.2,44541.5,50982.25,0.0,14910.0,100.0,-65.0
1,6,05.01.2021, 05:00,55.3175,2092.0,2092.0,0.0,44.26,46693.25,53536.25,0.0,14882.5,214.39,36.8
1,7,05.01.2021, 06:00,56.2825,1999.0,1999.0,0.0,47.06,51853.5,58909.5,0.0,15202.5,404.65,35.96
1,8,05.01.2021, 07:00,62.8425,1619.0,1619.0,0.0,54.96,55518.25,63780.0,0.0,14905.0,305.94,-64.5
1,9,05.01.2021, 08:00,72.225,1482.25,1482.25,0.0,63.67,57978.75,66841.25,110.0,14875.0,198.98,42.9
1,10,05.01.2021, 09:00,66.76,1478.5,1478.5,0.0,64.73,59540.25,68499.75,395.0,14852.5,108.8,35.7
1,11,05.01.2021, 10:00,73.53999999999999,1180.0,1180.0,0.0,66.07,61076.75,69545.0,915.0,15447.5,146.0,27.9
1,12,05.01.2021, 11:00,68.095,957.75,957.75,0.0,65.97,62253.25,71102.75,1357.5,15277.5,176.98,38.61
