time,hour,DA_Price,Solar,Wind,Index_Price,High_Price,Low_Price
1,1,50.0,0.0,49618.871874559634,49.29,239.59285979545484,47.0
2,2,40.0,0.0,49495.66994309052,39.432,226.03393156646695,-27.0
3,3,40.0,0.0,46709.238828261754,39.432,219.34168922114415,37.0
4,4,0.0,0.0,50302.41606286854,0.0,171.40128380275107,-96.0
5,5,40.0,0.0,46855.09836033441,39.432,224.40008221207847,-58.0
6,6,30.0,0.0,50545.94253736838,29.574,223.141452683013,-145.0
7,7,50.0,0.0,49001.12995495046,49.29,251.36463010471522,19.5
8,8,70.0,0.0,49808.54777263426,69.006,287.17375056674547,-37.5
9,9,70.0,394.36249017372603,48315.05227959907,69.006,284.80975932275686,-12.5
10,10,70.0,3568.8606030220394,45142.389143364206,69.006,278.14806694976437,-75.0
11,11,70.0,8022.5018543105825,43919.29733062245,69.006,278.2879576366903,68.0
12,12,70.0,10970.217003502323,42973.05295690258,69.006,278.7152990214188,40.5
13,13,50.0,15117.210618449088,43378.02458974343,49.29,253.0712219705391,49.0
14,14,70.0,12329.688194909473,38065.63157663508,69.006,268.02336848900177,68.0
15,15,70.0,9306.551356032942,35405.91872497896,69.006,260.5244915331824,6.5
16,16,70.0,3576.1111154977257,32290.888687504248,69.006,250.4688806856313,36.5
17,17,70.0,181.45362849518582,30072.604544901602,69.006,244.2442600159627,-27.5
18,18,70.0,0.0,29550.610326210794,69.006,244.78188230202983,28.5
19,19,70.0,0.0,27549.82223167936,69.006,240.62333869716593,-63.0
20,20,70.0,0.0,28553.808686807388,69.006,246.15519301495385,-23.5
21,21,70.0,0.0,29328.812487116837,69.006,250.9485782709518,69.0
22,22,70.0,0.0,32157.6555200584,69.006,262.3655950521883,67.0
23,23,70.0,0.0,33008.16112513168,69.006,267.40247362854967,68.0
24,24,70.0,0.0,32042.15677977453,69.006,266.58110761477286,69.0
25,1,70.0,0.0,32513.98646690753,69.006,215.34080435577678,69.0
26,2,70.0,0.0,33778.117298656834,69.006,221.7116242881683,33.5
27,3,70.0,0.0,35513.62644304915,69.006,229.60263927883352,-1.5
28,4,70.0,0.0,34398.43499068311,69.006,228.30014484495302,29.5
